lause|form|classification
"""Rahvaerakond Mõõdukad aga on esindatud koguni kahe haruga – sotsidest ja EMKE-st on järel ühendus Noored Mõõdukad ning talurahvaerakonnast läbi käinud parempoolsetel on oma noorteühendus Vox ."|talurahvaerakonnast|"NONE"""
Pärnu haigla polikliiniku radioloogiaosakonnas oli tänavu märtsi alguseks uuringutel käinud 140 naist , kellest 35 vajas haiguskahtluse tõttu lisaläbivaatusi .|radioloogiaosakonnas|LOC
Efektses tantsuloos Better The Devil You Know istus nappides rõivastes täht endast kaks korda suurema alasti mulati süles .|tantsuloos|NONE
Üllatuseks astub ta lavale päikeseprillides .|päikeseprillides|NONE
Kui viimati käisin oma lemmiksigaretipoes , siis tegi peremees mulle itaalia-prantsuse segakeeles suurepäraselt selgeks , et vaja on osta vähemalt plokk .|lemmiksigaretipoes|LOC
Ta teab , et mitte ükski lääneriik ei tõtta baltlastele julgeolekugarantiisid pakkuma .|baltlastele|NONE
Kuidas käib Eesti käsi eurovõistlusel , oleneb Paadami sõnul peaasjalikult sellest , kui õnnestunud laulu kirjutab helilooja X. Ebaõnnestumisi korraldamistegevuses ta ei karda : “ Inimesed , kes seda teevad , on olnud sellega mitu aastat seotud .|eurovõistlusel|NONE
Käisime kaks korda indiaanlaste peyote-tseremoonial .|peyote-tseremoonial|NONE
Nüüd on “ tundmatuks jääda soovivad Kremli allikad ” seletanud , et Nikolajev ei lahkunud mitte ettekäändeks toodud eriarvamuse tõttu Gruusia demarkeerimata piiri detailides , vaid paljastatud katse tõttu rajada kõikvõimsat isiklikku luuresüsteemi .|detailides|NONE
Kui tihti te Saarekülas käite ?|Saarekülas|LOC
Lõpukolmandikul kõndis Rootsi noateral , 2 : 1 püsis .|Lõpukolmandikul|NONE
Jutt käib [ kaitseväe ] IQst , intellektuaalse taseme tõstmisest .|IQst|NONE
” Sa ei kirjuta ka , täpsustades : “ Ta istus voodikattele .|voodikattele|LOC
Kes viimastel aastatel sotsiaalministril toolil istunud poliitikutest ( Reformi- , Kesk- või Koonderakonna esindaja ) selleks kõige suuremaid pingutusi tegi , pole praegu oluline .|sotsiaalministril|NONE
Alates 1984. aastast olen käinud ka Eesti-Leningradi ja Balti matshidel-maavõistlustel .|matshidel-maavõistlustel|NONE
Nolckeni võistkonnast on “ Kuldvillakus ” käinud Uno Ainsoo ja Mart Kübarsepp .|Kuldvillakus|NONE
Kogu eelneva tõttu ei ole mõtet kurta , kas Eesti liigub eurokõnelustel liiga kiiresti või mitte .|eurokõnelustel|NONE
Igatahes astus Milan San Sirol kodupubliku ette hiilgavas seisus , Itaalia liigas edestati järgnejat kümne punktiga .|Sirol|LOC
» Nüüd , kui nuku-teatrilased solfedžotundides käivad , suudab Taavi vaikselt nooti uurides viisijupi maha mängida küll .|solfedžotundides|NONE
Regionaalliigas käib matil 18-aastane juunior Kristjan Press ja eestlasteltki käivad mõõtu võtmas 19 riigi matimehed .|Regionaalliigas|NONE
Mõnede kaaskodanike häälekast voorimisest hoolimata istus ja seisis enamik rahvast rahulikult ning sobitas oma meeleolu ja mõtteid järve kaldavette püstitatud uhkest valgusmajast kostvate kuninglike helidega .|voorimisest|NONE
Kõigepealt käis selle sõna välja Tallinna linnapea Robert Lepikson ühes raadiosaates , kus oli juttu korteritehingutest .|raadiosaates|NONE
Zipp aga rääkis jäämühklikust tänavaservast : “ Läksin hommikul üle Raekoja platsi ja järsku istusin veelombis , kuni möödakäijad mu aknaservale istuma aitasid .|veelombis|"LOC"""
Meie aga mitte ning tunni aja pärast astumegi suplusest värskete ja rannal peetud söögikorrast heatujulistena eraomanikust kapteni Zarja-tüüpi laeva .|söögikorrast|NONE
Taas istus itaallane sadulasse alles tänavusel Girol .|Girol|NONE
Tallinna linnakohtu maffiasaalis eile istunud korteripetiste jõugu ohvrite seast kostis pahameelenurin , kui kolmeliikmeline kohus lükkas asja arutamise septembrisse , sest üks kohtualune kurtis kehva tervist , kaks olid aga teadmata kadunud .|maffiasaalis|LOC
"""Ehkki see käib eetris väga ebamugaval vaatamisajal laupäeva varaõhtuti , on põhimõtteline läbimurre toimunud ."|vaatamisajal|"NONE"""
“ Kuulda on olnud , et eelmisel aastal oli Loode-Venemaal katk sees , Eesti inimesed käivad ka seal püüdmas ning üks võimalus on , et samad püüdjad tegutsevad siingi , ” rääkis Jaan Pikka , kelle kinnitusel käis mullu Väänal massiliselt püüdjaid , ehkki lube oli välja antud vaid sadakond .|Väänal|LOC”
1995 . aastal Inglismaa klubist Tottenhamist lahkunud ning Saksamaale naasnud Klinsmann on sel hooajal öelnud , et ta ei ole rahul Bayerni kaitsetaktikaga ning sellega , kuidas teda kehva mänguperioodi ajal koheldakse .|Tottenhamist|LOC
Vähemasti West Endist ( Brodwayl pole ma käinud ) lahutab meid küll umbes sama palju , kui juuraajastust .|Brodwayl|LOC
Sotsiaaldemokraadist Taani peaminister Poul Nyrup Rasmusseni aatekaaslased istusid Kjærsgaardi tuhkatriinust kuningannaks tõusmise ajal nördinult oma fraktsiooni punalippudega dekoreeritud toas , ning sama vähe oli lüüasaamise üle rõõmustada Taani opositsioonilistel liberaalidel ja konservatiividel .|tuhkatriinust|NONE
Põlva politseiprefekti Elmar Nurmela sõnul käivad Põlva politseinikud põhimaanteedel patrullimas külakorda naaberprefektuuride korravalvuritega .|põhimaanteedel|LOC
Kui OBU-galeriisse astub inimene tänavalt , siis tal eelarvamus puudub või on see pigem positiivne .|OBU-galeriisse|LOC
Noorsoopolitseinik , kes Andrest toona haiglas vaatamas käis , on öelnud , et poiss ei soovi oma ema karistamist .|Andrest|NONE
Viimasega istus tulevane diktaator 1940-ndate algul koos sunnitöövanglas Doftanas , kus harrastati aktiivset homoseksuaalset suguelu .|sunnitöövanglas|LOC
Aga ma pole Rotermannis veel käinud .|Rotermannis|LOC
Kella poole viie paiku hommikul käis kiirendusrajal tume mürakas ja stardipaiga lähedal telkides tudunud porscheklubilastele hakkas autojuppe pähe sadama .|kiirendusrajal|LOC
Aga meil oli üks kambast käinud Soome suurimal igamehe-sõudevõistlusel ja tema tuligi mõttele : läheme kirikupaadiga Tallinna .|igamehe-sõudevõistlusel|NONE
Eilsetes vabastiili teatesõitudes liikusid teistest nobedamalt Kristina ?|teatesõitudes|NONE
Klubi juhtkond teatas , et Sprewelli karistatakse juhtunu eest rahatrahviga kuni 40 000 dollarit , kuid Knicksi esimesel kontrollmängul Philadelphiaga istus Sprewell varumängijate pingil tänavarõivastes .|tänavarõivastes|NONE
“ Kaks aastat tagasi käisime koos Eesti Pihkva konsuli Andres Kolgiga rajoonivalitsuses õigust nõudmas , ” räägib Kallas .|rajoonivalitsuses|LOC
Jutt käib niisiis 2007 . aastal alguse saavast ( ainult ) eestikeelsest gümnaasiumiharidusest , millega me aegajalt muukeelseid kaasmaalasi kol- litame .|gümnaasiumiharidusest|NONE
Davies on käinud tänavu juba ühel ekspeditsioonil Sumatral , kus ta otsis ürgmetsas legendaarse jeti jälgi .|Sumatral|LOC
Jutt käib Euroopa eeskujul alustatud amnestiakampaaniast , mille käigus pääses mitme kuuga trellide tagant hea käitumise eest 472 kurjategijat .|amnestiakampaaniast|NONE
Gümnasist Maarika käib Säreveres ratsatreeningutel ja kodused näevad teda suvel harva nagu Jaanikatki .|ratsatreeningutel|NONE
Modell ja näitleja Elizabeth Hurley astub altari ette punases india rahvarõivakleidis saris , mille disainib tema sõbratar Donatella Versace .|rahvarõivakleidis|NONE
Mõne aja pärast öeldi : säi-litage rahu ja läbi reisijatesalongi jooksid hapnikumaskis mehed .|hapnikumaskis|NONE
Talvel aga käivad isad-emad Helsingi tervisekeskuste juures perekoolitusel , ” teab Jakobson põhjanaabrite tavasid .|perekoolitusel|"NONE"""
Glen Rice'i abikaasa selgitas , miks Lakersi viimases kaotusmängus Indiana Pacersiga tema mees neljanda veerandi pingil istus .|kaotusmängus|NONE
“ Politsei ei jäta mingil juhul kurjategija otsinguid , kes 9 . aprillil Rahumäel Tuisu tänaval 13aastase poisiga seksuaalvahekorda astus ja hooples , et on ka varem üht noorukit ära kasutanud , ” ütleb Tallinna Lõuna politseiosakonna kriminaalkomissar Arvi Kumm .|Rahumäel|LOC
Kaks aastat tagasi astus Karen modelliametist erru .|erru|NONE
Harpersi sõnul on Talkist lahkunud juba 26% juhatusest .|Talkist|NONE
Kindlasti ei lahku ma Isamaaliidust .|Isamaaliidust|NONE
Tartus liigub legende kaubaagendist , kes nühkis , pühkis , imes , läigitas , meelitas ( puhtusega ) ja hirmutas ( batsillidega ) kas või viis tundi , et 50 000kroonine väljaminek pererahvale vastupandamatuks teha .|kaubaagendist|NONE
Jutt ei käi mitte ulmefilmide robotkoduabilistest , vaid arvutiseeritud tolmu-|robotkoduabilistest|NONE
Kokku kulus sellele tegevusele pool tundi vähem kui kontserdile enesele , viimane autogrammikütt lahkus Hobuveskist alles kell pool üksteist õhtul .|Hobuveskist|LOC
Aga võita on hea , pealegi on meil selle vastasega muudki asjad klaarida , » ütles Ehitustööriista peatreener Allan Dorbek , kes süüdistab vastaste peatreenerit Heino Lille selles , et eelmisel suvel lahkus Dorbeku juhitavast Siili Palliklubist mitu noortegruppi TTÜ korvpalliklubisse .|Palliklubist|LOC
Tema filmirivaal Lauri Nebel sattunud ossa aga tänu naistelembusele - 25 aastat hiljem paljastasid kolleegid , kuidas 30ndates Lauri käinud jalgrattaga külapidudel tüdrukuid piilumas .|30ndates|NONE
Rohkem kui 100 sõjaväelasest koosnenud dessant sattus kohe Talibani vägede koondumiskohta Kandahari läänepoolsetes eeslinnades Babashahi mäe lähedal ning lahkus kokkupõrkepiirkonnast helikopteritel .|kokkupõrkepiirkonnast|LOC
Kust jookseb valimissõjas , mida iseloomustab moto « kes jaksab rohkem teisi tümitada » , eetiline piir ?|valimissõjas|NONE
Kuigi ametnikud otsesõnu massihävitusrelvadest ei räägi , võib poetatud lauseid mõista nii , et jutt käib ÜRO relvains-pektorite lollitamisest .|lollitamisest|NONE
Uuringu « Töötades 21. sajandil » järgi liiguvad inglased üha rohkem statsionaarselt kontoritöölt liikuvale ja täidavad üha enam tööülesandeid sülearvutite ja mobiiltelefonide abil näiteks kodus , hotellis , lennujaama ooteruumis või rongis .|liikuvale|NONE
Põlva Serviti peatreenerina neljakordseks Eesti meistriks tulnud ja ka Eesti koondist juhendanud Tarmo Volt , kes astub Tallinnas loodava klubi peatreeneripostile , võtab vastu mitu väljakutset korraga .|peatreeneripostile|NONE
Puhkusel pole ma need seitse aastat käinud . »|Puhkusel|NONE
« Eelmisel aastal liikusin hoovõtul nagu vanaema .|hoovõtul|NONE»
RALLI : Juunior WRC sarja MMil osalev Urmo Aava käis nädala alguses Tšehhimaal Škoda testimiskeskuses oma Suzuki Ignist proovimas ning leidis läheneva Kreeka ralli tarbeks korraliku seadistuse .|testimiskeskuses|LOC
Enne jaanipäeva paiku sõidetavat Kreeka rallit teeb Aava koos kaardilugeja Kuldar Sikuga testi Lõuna-Eesti teedel ning järgmine kord istub ralliauto rooli juba Kreeka testikatsel .|testikatsel|LOC
"""Turvalisel istmel liigub peatugi tagantotsasõidul ette- ja ülespoole , « püüdes » juhi tagasipaiskuva pea kinni , et inimene kaela ei murraks ."|tagantotsasõidul|"NONE"""
Käivad jutud peatselt ilmuvatest memuaaridest ( millal ta veel kirjutada jõudis ? ) , mis Savisaare nimel tuhmuda ei lase .|memuaaridest|NONE
Paha oli ka see , et ema käis kogu aeg Kaalujälgijates .|Kaalujälgijates|NONE
Käib kas bodypump'is , joogas , ujumas , jooksmas , jõusaalis , kickbox'is või aeroobikas .|bodypump'is|NONE
Ja mis kättemaksust käib jutt , kui olete vabatahtlikult ja oma suureks meeleheaks nõus voodit jagama mehega , kellel on peale seadusliku abikaasa n+1 armukest .|kättemaksust|NONE
Jane sai oma auhinna kätte ( =käis büstilõikusel ) eelmise aasta alguses .|büstilõikusel|NONE
Viimase 60 aasta suurimate üleujutustega võitleval Inglis-maal käib suuroperatsioon : hädalistele jagatakse miljonite pudelite kaupa joogivett .|Inglis-maal|LOC
Üles astusid Gunnar's Roses , Bande , Loits , Magnetic Band , Cramp , Vennaskond , Chupacabra , Endel Rivers , Tahvel , Kolumbus Kris , Terminaator ja viimasena Led R.|Gunnar's|NONE
Jooksin paljajalu välitekile .|välitekile|LOC
Koaksiaalkaablis liigub telepilt elektronide- , valgusoptilises kaablis aga valgusimpulsside näol .|Koaksiaalkaablis|LOC
Olen käinud ka Paula modellikoolis .|modellikoolis|LOC
"""Tütarlaps lahkus kevadmüügilt , olles raamatukaupmeestele jätnud 240 krooni kahe raamatu eest ."|kevadmüügilt|"NONE"""
"Seega on Uno Paasi kindlad andmed , et kõik "" Tallinna "" Harley-mehed "" käisid kolhoosikorras kusagil garaažis kanepit kastmas ja tõmbamas , ülemäära üldistavad , küündimatud ja naeruväärsed ."|kolhoosikorras|NONE
Varasematel aastatel käis neiu sulgpalli- ja ratsutamistrennis .|sulgpalli-|NONE
Kvalifikatsioonisõitudes liikus suurepäraselt Williams-Renault esisõitjaks tõusnud kanadalane Jacques Villeneuve , kelle aeg oli 1 , 7 sekundit parem kui meeskonnakaaslasel Heinz-Harald Frentzenil .|Kvalifikatsioonisõitudes|NONE
Kell üheksa hommikul astusidki Stefan ja Nicole koos pisipojaga noorsooametisse .|noorsooametisse|LOC
Käin giidikursustel , minust peaks saama vabatahtlik giid .|giidikursustel|NONE
Esmakordselt keskmäestikulaagris käinud Nabi sõnul avaldusid plussid kohe Eestisse jõudes – harjutamine tundus siin eriliselt kerge .|keskmäestikulaagris|LOC
“ Imelik , kuid meditsiinisüsteemis info ei liigu - üks arst ei tea , mida teine teeb , ” lausus Rammul .|meditsiinisüsteemis|NONE
Mäng käib täiesti väikese saali mõõtkavas , põgusaimgi ilmemuutus on paljuütlev .|mõõtkavas|NONE
Kogu tegevus käis kasvukeskkonnas , mida omakorda võimendas börs .|kasvukeskkonnas|NONE
Avameetritest käis Lazutina , Martinseni ja Kristina vahel armutu heitlus .|Avameetritest|NONE
Tartu Kalevi spordikooli maadlusosakonna poisid käisid külas Tampere maadlusklubil .|maadlusklubil|NONE
Särtsakat Tiiut nähes ei oskaks arvatagi , et ta põeb ravimatut haigust ning ta keha liigub ainult tänu raudpoltidele .|raudpoltidele|NONE
Nii käiski neiu igal vana-aastaööl uut võtmehoidjat otsimas , aga ei leidnud neil öil Toomemäelt kedagi .|vana-aastaööl|NONE
Williams noris lõunasööki boikoteerinud New York Timesi kallal ja väitis , et Washington Posti reporterid hilinesid , kuna on sama loo pärast lõunal käinud juba 1974 . aastast saadik – viide Watergate'i skandaalile , millest suurem osa tuli avalikuks Posti kaudu .|skandaalile|NONE
Kivimäe kooli III klassi õpilane Sander käis pühapäeval Nõmme rabajooksul .|rabajooksul|NONE
Näiteks kui laps läheb õppima osalise riikliku ülalpidamisega kooli või hakkab riik teda täielikult ülal pidama , kui laps õpingud katkestab , astub õhtukooli ilma arsti otsuseta jmt .|jmt|NONE
Tallinna abilinna peatoolil istus ta 1996 . aastal .|peatoolil|NONE
"""Kui käid päevast päeva matkakingades ja pead siis äkki välja minema kõrgetel kontsadel , reedab sinu kõnnak su tegelikud eelistused alati ."|matkakingades|"LOC"""
Tegelikult on meie selja taga ka rida toole ümber suure ekraaniga monitori , kus parajasti jookseb mingi Jaapani õudukas .|õudukas|NONE
Lisaks käis ansambliliikmetel omavaheline nagin .|ansambliliikmetel|NONE
Pillimängijad liikusid piki Kuuendat avenüüd New Yorgi Keskparki , rongkäik venis 72 linnakvartali pikkuseks .|Keskparki|LOC
Esimese inimesena astus 21. juulil 1969 Kuule USA astronaut Neil Armstrong kosmoselaevalt Apollo 11.|kosmoselaevalt|LOC
Nüüd tulevad kaheksa ametlikult rahulolematust väljendanud meest ja nende toetajad-töökaaslased hommikul tööle ja istuvad jõude remondiruumis masinate vahel kaheksa tundi .|remondiruumis|LOC
Mine välja ja kõnni siis magad ka paremini ning tunned end kergema ja puhtamana .|magad|NONE
Laululooja Sven Lõhmus armus Ameerikasse täpselt aasta eest , kui ta korraks taas kokku tulnud ansambliga Black Velvet Chicagos väliseestlastele aastavahetusepeol esinemas käis .|aastavahetusepeol|NONE
"""Paarike tabati Chicago lukshotelli rõdul õrnutsemast : Jen istus Vince'il kaksiratsi süles , paitas ta nägu ning suudles teda seejärel kõigi möödujate silme all ."|Vince'il|"NONE"""
Seiku EPA pidudelt Mõni aasta tagasi olevat EPA ühikas olnud valvur , kes öösel purjus peaga pidutsejatelt raha küsimas käis .|pidutsejatelt|NONE
Pole küll Hawaiil käinud , aga ei usu , et soojal maal nii rasvast liha süüakse .|Hawaiil|LOC
Uudsel spordialal luuaga aerutamises astuvad juba täna võistlustulle linna- ja maajuhid .|aerutamises|NONE
Riigi julgeolekuvarude varguse ilmsikstulekul lahkus ametist põllumajandusminister Tiit Tammsaar .|ilmsikstulekul|NONE
"""« Kui me tuumakatsetustel ei käinud , tegime neutraalvete ja Vaikse ookeani kohal õhuluuret ."|tuumakatsetustel|"NONE"""
Noor vaataja ei pruugi teadagi , et seesama Johannes ehk ristinimega Kaljo Kiisk astus vaikse noormehena mobilisatsiooni korras 17aastaselt Eesti SS-diviisi , sõdis Sinimägedes venelastega , suutis hiljem varjata oma minevikku , õppis Moskva Riiklikus Teatriinstituudis , oli teatrilaval legendaarne Toots ja kinolinal veel legendaarsem Lible , sai maha kuraditosina jao filmiga , millest kaks Moskva riiulile seisma pani .|SS-diviisi|NONE
Ma siis seletasin , et astun joonistamisse , tema aga , et tule üle kultuurharidusse , et kas sul mõni luuletus on peas .|joonistamisse|NONE
Loomulikult lahkub Trepp praegu juunioriklassist täiskasvanute sekka paljulubava ujujana , ent mitte imelapsena , nagu teda neli viimast aastat kutsuti .|juunioriklassist|NONE
Veidi eemal , suures klaaspuuris käib vaatemänguline etendus rottide korvpallivõistlusest .|klaaspuuris|LOC
Seni käis Ollega klassikamaratonidel Koidu , nüüd hakkab käima Bergman .|klassikamaratonidel|NONE
Esimest korda maailmavõistlusel käinud Elina sõnul pani teda imestama see , et inimesed teadsid tema õde Inna Roosi Miss Universumi võistluselt .|maailmavõistlusel|NONE
Nende seas lahkunud president Lennart Merigi , kes väljaütlemistes esimest korda tõsiselt ämbrisse astus .|väljaütlemistes|NONE
Tegelikult lahkus ta teatrist ju täies loomejõus .|loomejõus|NONE
Ja mitte ainult vetsupotist ja kraanikausist prahi allaloopimisest ei käi jutt .|vetsupotist|LOC
« Me pole seal Maidanil revolutsiooni ajal kordagi käinud , » ütlevad mõlemad .|Maidanil|LOC
See armas raamat räägib väikesest hiireplikast , kes tahab oma vanaema ja vanaisa tänada ja selleks teistele metsaloomadele appi tõttab .|metsaloomadele|NONE
Tööstuse tänava raudteeülesõidukohas jooksis rong rööbastelt maha , Tallinna tuletõrjesse teatati õnnetusest üleeile õhtupoolikul kell 17 . 28 .|raudteeülesõidukohas|LOC
Perenaised on jõudnud kõik nõud ära pesta ja istuvad koos lähedastega veel suures taluköögis .|taluköögis|LOC
Pack käis sõrmeoperatsioonil ega saa mängida vähemalt kuu aega .|sõrmeoperatsioonil|NONE
Lõviosa linlastest kõndis protestijatest kas siis ükskõikselt mööda või tõttasid hoopiski piletijärjekorda vilistades ähvardavale põrgutulele ja Kristuse mahaparseldajapitserile .|põrgutulele|NONE
Ja siis – väljas sajab vihma , sina istud seal ahjutulevalgel – midagi muud ei põle – ja loed lehte .|ahjutulevalgel|NONE
Panathinaikose vastu jookseb platsile ka Koronios .|Koronios|NONE
Ajakiri X avaldab kuutabeli , Uunos jookseb ta laupäeviti juba alates novembrist , kus on nn esikas . ”|Uunos|NONE
Hinnatud briti näitleja Michael Caine sattus omal ajal draamakunsti haardesse täiesti juhuslikult – ta oli noorukina kiindunud ühte Amy-nimelisse neidu , kes juba käis näiteklassis .|näiteklassis|LOC
Siin käivad Euroopa meistrivõistlused rannajalgpallis ja olen siin Eesti koondisele kaasa elamas .|rannajalgpallis|NONE
"Mullu suurest rattaspordist lahkunud Kirsipuu pole üllatunud , et Zabel ja Riis suu lahti tegid : "" Seda võis eeldada ."|rattaspordist|"NONE"""
Nahk on Soome väravavahtide hirm , » kiidab Iltalehti kahe hooaja vahel Maardu Levadiast Jokeritesse liikunud paari .|Jokeritesse|LOC
Vormel-1 sõitja Ralf Schumacher lahkub Jordanist ning võistleb järgmisel F1 hooajal Williamsi meeskonnas .|Jordanist|NONE
Raha Esimene aktiivsem periood rahatemaatikas kerkib üles 19. veebruarist 14. aprillini , mil Marss liigub sinu märgi rahamajas .|rahamajas|NONE
Jõesängis jooksis jõevesi ja jogurtist jälgegi .|Jõesängis|LOC
""" Olen pisikesest peale nende arstide juures käinud , alati tarka nõu ja traumade korral otsest abi saanud . """|pisikesest|"NONE"""
Sportlike ürituste järel kaeti laupäeva õhtul laud ning osavõtjad istusid sööma-jooma ja parimatest aegadest mälestusi heietama .|sööma-jooma|NONE
Heade korterite ja majade hinnad New Yorgis on tõusnud viimasel ajal sellisesse kõrgusse , et nende soetamine käiks ilmselt üle jõu ka Eesti jõukureile .|jõukureile|NONE
Paralleelselt aasta viimaseks mänguks valmistumise ja jõulupuhkuse ootamisega käib BC Kalevi leeris veel töö meeskonna komplekteerimisel .|komplekteerimisel|NONE
Jänkid käivad Ämari õhuseirekeskuses ja Paldiski rahuvalveoperatsioonide keskuses ning kohtuvad Kadrioru lossis president Lennart Meri ,  aseesimehe Tunne Kelami , peaminister Mart Laari , välisminister Toomas Hendrik Ilvese ja kaitseminister Jüri Luigega .|õhuseirekeskuses|LOC
Loosimise avas Euroopa meistrit Itaaliat esindanud Dino Meneghin , tuntud palluritest käisid liisku tõmbamas veel Šarunas Marciulionis ( Leedu ) , Vladimir Tkatšenko ( Venemaa ) , Dražen Dalipagic ( Jugoslaavia ) , Karlis Muižnieks ( Läti ) ja Aleksandr Belostennõi ( Ukraina ) .|Šarunas|NONE
Venemaal külaskäigul viibiv USA esimene leedi Hillary Clinton käis eile koos Vene presidendi abikaasa Naina Jeltsinaga Jekaterinburgi kirurgiakeskuses Bonum .|kirurgiakeskuses|LOC
"""Kõigiti ette valmistatud , lahkus Heinz Hempel alias Ludwig Bergmann Saksa DV-st 1966 . aasta aprilli lõpus Berliini Friedrichstrasse vaksali kaudu ."|DV-st|"LOC"""
Lahkus ju O'Neal kolm aastat tagasi Orlandost Los Angelesesse vaatamata Orlando hiilgavale pakkumisele .|Orlandost|LOC
Ainsal hulkuvaid ja mahajäetud loomi koguval varjupaigal on üks auto ja loomatohtril käib abiks kaks meest .|loomatohtril|NONE
Ta on ateljeefotograaf , kes valutab südant selle pärast , et iga mats teeb nüüd pilte oma aparaadiga ja kunstfotoateljeedes ei käi enam keegi .|kunstfotoateljeedes|LOC
Klubist on nimekamatest lahkunud vaid veteran Thomas Helmer , kuid AS Romast hangiti asemele brasiillasest poolkaitsja Paulo Sergio ( 120 miljonit Eesti krooni ) ja Paraguayst tuli noor ründetäht Roque Santa Cruz ( 80 mln . ) .|nimekamatest|NONE
"""Kui perenaine Maimu üleeile õhtul Raplamaal Põlli külas laudast lahkus ja tuppa läks , jäid lehm , viis lammast koos kahe tallega ning ligemale 30 kana rahulikult oma igaõhtuste tegemiste juurde ."|Maimu|"NONE"""
Samal olümpial jooksis Joyner-Kersee sugulane Florence Griffith-Joyner , kah jõujuurikas , 200 meetrit 21,34 ga .|jõujuurikas|NONE
» Kui Raivo käis Allfilmis näitlejate kartoteeki täitmas , oli seal ka küsimus auto- või lennukijuhtimise paberite omamise kohta .|Allfilmis|LOC
Briti ajalehe The Daily Telegraph reporter David Blair käis Bagdadi välisministeeriumihoones uudistamas , mis seal pärast rüüstamist alles on jäänud .|välisministeeriumihoones|LOC
"""Kõik lugesid pikemat ülevaadet , millistel pidudel-vastuvõttudel paarike on viimasel paaril kuul käinud ja tundsid südamest kaasa sarvekandjast abikaasale , mõeldes ühtlasi , kas mees , kes ei suuda oma abikaasagagi toime tulla , ikka kõlbab presidendiks ."|pidudel-vastuvõttudel|"NONE"""
Lapsevanemad leiavad üksteist üles , otsivad ruumid , keegi neist hakkab kasvatajaks , teised käivad vastavalt oma ajabilansile talle toeks ja abiks ning kohalik omavalitsus maksab selle värgi osaliselt kinni .|ajabilansile|NONE
Seni liigub Ratnikovi löögirusikas pidurdamatul kursil - nii meistri- kui karikasarjas on ainult võidurõõmu maitstud .|löögirusikas|NONE
Sestap pandi kala vanni , kus lapsed tal pesupäevadel seltsiks käisid .|pesupäevadel|NONE
Laupäeva õhtul käisime keskaegses Olde Hansas .|Hansas|LOC
Just nii nagu see õndsal Nõukogude ajal riigipolikliinikuis käis .|riigipolikliinikuis|LOC
Seetõttu pole imestada , et Albert käib paljudel spordiüritustel ja on tuttav paljude tippsportlastega .|spordiüritustel|NONE
Seepeale koostas Ladbroke'i kihlveokontor humoorika nimekirja , millisest Beckhami kehaosast jutt käib .|kehaosast|LOC
Kaupluste lasteosakondadest rõivaid hankival mehel on aga tõeliselt mehine hobi : käib motoringrajal mehhaanikuks .|motoringrajal|LOC
"""Üleeilne intsident sai alguse , kui Ehitustööriista mängijad pärast lõpuvilet vastaseid õnnitlema läksid ning Nigol ja Frier sõnavahetusse astusid ."|sõnavahetusse|"NONE"""
Täna ( 23. detsembril ) lahkume Harkivist ja pärast üritusi Sumis jõuame õhtuks Kiievisse .|Harkivist|LOC
Teada on näiteks , et Kesk-Eesti 19 kooliealisest mustlaslapsest käib koolis vaid seitse .|mustlaslapsest|NONE
Filmilegend lahkus meie hulgast eile oma kodus Fårös 89 aasta vanuselt .|Fårös|LOC
63aastane soulikuulsus Isaac Hayes lahkub kultussarjast « South Park » , sest haavus saientoloogia üle irvitamise pärast .|kultussarjast|NONE
Väike inimene astus ooperimaailma esimest korda elus .|ooperimaailma|NONE
Röövel lahkus kuriteokohalt Rosset ’ i Audi RS4ga , kuid tühja kütusepaagiga sõiduriist leiti paar tundi hiljem Prantsusmaalt .|RS4ga|NONE
"""Ühes lossiruumis - Pika Salli Keldris käis aga tõsine töö : lapsed kudusid kogenud käsitööliste juhendamisel salli , et kinkida see Lapimaa karmis kliimas elutsevale Jõulumehele ."|lossiruumis|"LOC"""
Või käinud nendes nukuteater-tüüpi barakkõllekates .|barakkõllekates|LOC
""" Tüütu fänn käis Põldroosil koduukse taga skandaalitsemas ja helistas näitlejale päevas ligi kümme korda ."|Põldroosil|"NONE"""
"""1949 . a . novembris lahkus Bremenist "" Kindral Taylori "" pardal USA-sse tõesti SD ohvitser ja suurima Eesti hävituslaagri juhtkonda kuuluv arst Harry ( Alex ) Adams , kes 1943-44 võttis vastu ja selekteeris Raasikul ja Kalevi-Liival massihävituse ohvreid ja jälgis hukkamiste sujuvust ."|Bremenist|"LOC"""
Sellest kuidas Sokrates käis Rootsimaal geiprideiparaadil svenssonitele indiaanlast tegemas .|geiprideiparaadil|NONE
Kuskil istuvad kudenud nägudega naisegrimmis ja dressipükstes mehed .|naisegrimmis|NONE
A-rühmas on , hooaja keskel EVO kuute istunud , Ivar Raidam koos Robert Lepiksoniga omale juba meistritiitli kindlustanud .|A-rühmas|NONE
” Ta lisas , et need , kes seda ei mõista , lahkuvad rongist järgmises teivasjaamas .|teivasjaamas|"LOC"""
Siis jooksid ihumahlad sirinal ning Alaveri üks lemmiktegevusi oli kehalt paksu veekihti nagu tuletõrjuja peopesaga maha pritsida .|sirinal|NONE
Vesi jookseb masinasse automaatselt torus-tikust .|torus-tikust|NONE
on kyll jah  10 - 13 tuhande saab juba päris häid kõlle - samas aga 5 ja 6-e tuhande eest on päris raske midagi inimlikkugi leida ( jutt käib siis suurtest põrandalseisvatest ) aga enda omad olidki ~6000 , 10 000 ei tasux neid osta - nii räägitaxe ja nii arvan ka ise|põrandalseisvatest|NONE
