form|lause|classification
kõrvalkabiinis|Ei-ei , ruttas too meenutama , kuidas istus hiljuti võistlust kommenteerides eestlaste kõrvalkabiinis .|LOC
kõrvalkabiinides|Kaks tudengit vestlevad meeste WC kõrvalkabiinides :|LOC
kõrvalkabiinist|Vasakust kõrvalkabiinist kostab :|LOC
lasteajas|l__m_f_a__o: ma arvan ei sa peaksid lasteajas k2ima|LOC
NONE
"""lasteajas"|seega ei ole kunagi sööklatoitu söönud koolis ja lasteajas sõin kah harva .|"LOC"""
likvidaatoritele|Põlevkivitööstuse likvidaatoritele tahaks aga meenutada vanasõna , et vanasse kaevu ära sülita enne , kui uus valmis kaevatud .|NONE
likvidaatorist|Venemaal on umbkaudu 300 000 likvidaatorist surnud kümnendik , sealjuures 38 protsenti neist on sooritanud enesetapu , kinnitas eile tervishoiuministeerium .|NONE
likvidaatoritest|"Mind ajendas kirjutama ETV 9 . novembri saade "" Suures plaanis "" , kus oli juttu Tšernobõlist ja seal käinud nn . likvidaatoritest ."|NONE
modelliametile|Seepärast oli Mick omal ajal vastu ka tüdruku modelliametile .|NONE
modelliametile|Seepärast oli Mick omal ajal vastu ka tüdruku modelliametile .|NONE
modelliametist|Kaks aastat tagasi astus Karen modelliametist erru .|NONE
Muuseumiöösse|"Muuseumiöösse mahuvad kaks ettekannet : Jaanus Kulli vaatleb Vildet kui seltskonnainimest ja Livia Viitol teeb 20 aastat oma elust välismaal veetnud kirjamehest ettekande "" Vilde läbimurre Euroopasse "" ."|NONE
muuseumiööst|Mitte ainult klubikultuuri - möödunudreedesest muuseumiööst kirjutan ülejärgmisel leheküljel .|NONE
muuseumiööl|Käisin paar kuud tagasi esimesel Amsterdami muuseumiööl - kella üheni öösel oli avatud paarkümmend muuseumi ja loomaaia akvaarium .|NONE
palgihunnikul|Lea istub küüni otsa juures palgihunnikul ( “ Jumal , ma ei ole kolm päeva kammi kätte võtnud ! ” ) ja Jüri toetab vastu redelit , mida mööda nende nooremad pojad Vahur ( 8 ) ja Lembit ( 6 ) metsiku rabinaga üles-alla lasevad .|LOC
palgihunnikus|Ema ja vanaema küsisid , mida ma seal palgihunnikus kogu aeg teen .|LOC
LOC
politseiandmetes|Asi aga politseiandmetes ei kajastunud ning nii oli täitur asunud tegutsema .|NONE
politseiandmetel|Kinnitamata politseiandmetel lahkus Kuulmann nädalaks Eestist , sest teda ähvardati .|NONE
Politseiandmetes|Politseiandmetes see aga ei kajastunud ning täitur asuski tegutsema .|NONE
ususeminaris|Kuid noormehel võimaldati sealt välja pääseda põhjusel , et ta ususeminaris õppis .|LOC
ususeminaris|Palestiinlasest meest läks püssiga Läänekaldal asuvasse juudi asundusse ning tappis ususeminaris kolm Iisraeli noorukit , pärast mida üks asunik terroristi enda maha lasi .|LOC
NONE
"""vägivallaähvardustest"|Sajad tuhanded idatimorlased tunglesid eile vägivallaähvardustest hoolimata valimisjaoskondade ees , et anda oma hääl ÜRO korraldatud iseseisvusreferendumil .|"NONE"""
vägivallaähvardustest|Juba liiguvad jutud vägivallaähvardustest , juba ette paljastatakse korruptsiooni .|NONE
vägivallaähvardustest|Sajad tuhanded idatimorlased tunglesid eile vägivallaähvardustest hoolimata valimisjaoskondade ees , et anda oma hääl ÜRO korraldatud iseseisvusreferendumil .|NONE
võõrusetendustele|"Vanemuise teater toob Tallinna Rahvusooperisse Estonia võõrusetendustele opereti "" Nahkhiir "" ja tantsulavastuse "" Suveöö unenägu "" ."|NONE
võõrusetendusel|Dirigent Paul Mägi , millal Estonia Teater viimati võõrusetendusel käis ?|NONE
"""võõrusetendustel"|Vaatamata sellele , et hooaja alustuseks viibib Rakvere Teater sel nädalal traditsioonilistel võõrusetendustel Tallinnas , on virulastest teatritegijad juba kahe uuslavastusega publiku ette astuda jõudnud .|"NONE"""
"""vöörikamorkas"|""" Su mees lõikab nii sinu kui minu pauhti ribadeks , kui teada saab , "" muretses Vladlen vöörikamorkas ."|"NONE"""
vöörikamorkas|Proovisin vöörikamorkas pärast palvetamist teda meelitada , aga ei tulnud midagi välja .|NONE
vöörikamorkas|Käime vöörikamorkas hoolsasti palvetamas , meiega on ühinenud ka teised muhameedlased laeval , kes enne ei julgenud seda teha .|LOC
Inturistis|Teda kahtlustatakse koostöös NKVD ja KGB-ga pärast arreteerimist ja pärast vangist vabanemist , töötas Inturistis , suri 1987 .|NONE
NONE
Inturistis|Töötas hiljem Inturistis giidina ja kirjastuses Aurora toimetajana .|LOC
Inturistist|Praeguseks on kõik külastajad ja kontoripinda rentinud firmad Inturistist lahkunud , baarid , restoranid ja meelelahutuskohad suletud .|LOC
Marlborolt|800 kilomeetri pikkuse sõidu võitja sai Marlborolt miljon dollarit ( 15 miljonit krooni ) .|NONE
Marlborole|Just see lõhnavedelik , sama kiivalt saladuses hoitud nagu Coca-Cola kontsentraat , annabki Marlborole ja teistele Philip Morrise sigarettidele kordumatu lõhna .|NONE
Marlborole|Just see lõhnavedelik , sama kiivalt saladuses hoitud nagu Coca-Cola kontsentraat , annabki Marlborole ja teistele Philip Morrise sigarettidele kordumatu lõhna .|NONE
NONE
Rovajärvel|40 kilomeetrit põhja pool Rovajärvel kulutavad soomlased ise igal aastal miljoneid Lääne- ja Põhja-Euroopa suurimal polügoonil sõjatööd harjutades .|LOC
Rovajärvel|Vilgas sõjategevus käib Rovajärvel 250 päeva aastas .|LOC
Rovajärvel|Soomlased lasevad kahe nädalaga Rovajärvel 7000 pauku , miine , mürske ja rakette .|LOC
Rovajärvel|Palju kordi Rovajärvel käinud ohvitserid mäletavad vaid üht suuremat õnnetust pikkade aastate jooksul .|LOC
"""Taimõrile"|""" Bernardi järel on Taimõrile tulnud teisigi mammutiuurijaid välismaalt ."|"LOC"""
Taimõril|Samas käib Taimõril üha uute nafta- ja gaasijuhtmete rajamine , mis põtrade elu ülimalt keeruliseks teeb .|LOC
Taimõril|Ka mulle meeldis siin väga ning ootamatult sain 1982. aastal telegrammi selleltsamalt mehelt , kes Taimõril oli käinud , et siia on võimalik elamine soetada .|LOC
Taimõril|Matkaseltskonna vanim liige , 59-aastane Ilmar Saar oli Islandit näinud ülesõidul Torontosse ja see tekitas Taimõril , Tshuktshimaal , Kamtshatkal ja paljudes muudes paikades matkanud mehel soovi oma jalaga saarele saada .|LOC
elektrienergeetikast|See käis meie arusaamade kohta elektrienergeetikast tervikuna teatud ajaloolises tagasivaates .|NONE
"""elektrienergeetikas"|MOSKVA , 5. juuli ( BNS ) - Venemaa elektrienergeetikas on käimas aktiivsed Baltimaid ja muid naaberriike puudutavad protsessid , ütles Vene energeetikaminister Viktor Hristenko , vastates küsimusele EES Rossija Läti plaanide kohta .|"NONE"""
Elektrienergeetikas|Elektrienergeetikas ning gaasi- ja veevarustuses toimus detsembris 28,1 -protsendiline juurdekasv , aastaga aga vähenes müük 13,9 protsenti .|NONE
Elektrienergeetikas|Elektrienergeetikas ning gaasi- ja veevarustuses toimus 7,3 -protsendiline tagasiminek .|NONE
"""hariduskontseptsioonis"|Kahjuks räägime hariduskontseptsioonis kõigest muust kui missioonist .|"NONE"""
hariduskontseptsioonist|Reformaatorid räägivad palju hariduskontseptsioonist , eriti aga selle puudumisest .|NONE
hariduskontseptsioonist|Täpselt nii Rakveres talitati ja ime küll - protest viis segadusse ametnikud , kes nüüd porisevad , et tohmanitest tiblad ei mõista Eesti hariduskontseptsioonist tuhkagi .|NONE
hariduskontseptsioonist|Uue haridusseaduse ettevalmistamine liigub sammukese hariduskontseptsioonist tagapool , ja see on ka loogiline , sest enne ei saa koostada seadust , kui puudub täpne kontseptsioon .|NONE
Isetegevusringides|Isetegevusringides käib vilgas jõululaulude ja -näidendite õppimine , uute tantsude kavandamine .|NONE
isetegevusringides|Olgu need siis vanad memmed-taadid või noored lapsed , kes käivad isetegevusringides .|NONE
isetegevusringides|Osalesin kõikvõimalikes isetegevusringides - laulsin kooris , mida juhendas helilooja Blumberg , käisin draama- ja balletiringis ... ”|NONE
"""isetegevusringides"|"Osalesin kõikvõimalikes isetegevusringides - laulsin kooris , mida juhendas helilooja Blumberg , käisin draama- ja balletiringis ... """|"NONE"""
janele|plix: kivi keda jane käis janele ja sulle see värvilise texti asi|NONE
janele|Sadboy_15: vähemkalli soovib janele hääd ööd|NONE
janele|Rax24: sina crow1 kitusid janele või ?|NONE
jane'ist|vedruseib: jane'ist olen veits kuulnud , aga Madli käib mu'ga ühes koolis !|NONE
kambjas|terje: mina elan kambjas|LOC
kambjas|Saara: hmm .... käige korra kambjas ja siis rääkige edasi :P|LOC
kambjas|Saara: nuh ma kambjas elan .. kui teate seda pommiauku|LOC
kambjas|godreamus: ise elad kambjas ja tuled põltsu kutti peksma|LOC
karaokeõhtul|Iga nädal käib ta mõnel karaokeõhtul tuleb pärast tööd , laulab mõned laulud ja läheb jälle .|NONE
karaokeõhtule|Enamik juhuslikult sisse astunuid sai õhtu edenedes aru , et nad mitte millestki aru ei saa , ja läksid Atlantisesse karaokeõhtule .|NONE
"""karaokeõhtult"|Noormehele oli kaasa elama tulnud kümneid fänne , kes ilmselt liiguvad lauljaga ühelt karaokeõhtult teisele kaasa .|"NONE"""
karaokeõhtul|Viljandi pubi Liverpool töötajad kutsusid märtsi lõpus karaokeõhtul laamendanud mehe taltsutamiseks politsei ,|NONE
kontsaklõbinal|Ta kõnnib kontsaklõbinal läbi tolliameti laburüntlike koridoride ja tutvustab selle jooksul maja ajalugu .|NONE
kontsaklõbinal|Gustav astub kontsaklõbinal ja südame pekseldes kohale .|NONE
kontsaklõbinal|Siis oli kuulda , kuidas ta tormas kontsaklõbinal üle tee sõbratari poole : “ Kujutad pilti , ” pahvatas , “ päise päeva ajal - ja ei häbene .|NONE
kontsaklõbinal|Öös võime kuulda linnulaulu , aga mõnikord ka kauget udusireeni ja äikesemürinat , võime kuulda kontsaklõbinal astuvat tütarlast ja talle raskemate sammudega järgnevat poissi .|NONE
koorijuhtimises|""" Muusiku tee on väga eriline tee , "" tunnistab Eesti üks hinnatum naisdirigent , kes algselt plaanis hakata hoopis pianistiks , kuid juhuse tõttu - nagu ta ise toonitab - leidis oma kutsumuse koorijuhtimises ."|"NONE"""
koorijuhtimisest|Olen vist ainuke koorijuht , kes on end elatanud ainult koorijuhtimisest ja tõestanud , et nii tööd tehes on võimalik ära elada ja oma peret toita .|NONE
koorijuhtimises|""" Muusiku tee on väga eriline tee , "" tunnistab Eesti üks hinnatum naisdirigent , kes algselt plaanis hakata hoopis pianistiks , kuid juhuse tõttu - nagu ta ise toonitab - leidis oma kutsumuse koorijuhtimises ."|"NONE"""
koorijuhtimisest|Dirigent Alfred Karindi loobus jällegi koorijuhtimisest , sest koorid vajuvad lauldes teatavasti natuke madalamaks .|NONE
kukkele|BeSexy: rebis käi kukkele|NONE
kukkele|jessicaz: legend käi kukkele ma olen magamatta ja sa ajad ka mu weel vihale|NONE
kukkele|jessi_mega_heas_tujus: Blade_77 käi kukkele|NONE
NONE
Kuupinnalt|Kuupinnalt ei peegeldu kuigi palju valgust tagasi .|LOC
kuupinnalt|Kiviselt kuupinnalt peegeldunud raadiokiirguse intensiivsus suunast oluliselt ei sõltu .|LOC
kuupinnast|Nende abil tahetakse esimese tööaasta jooksul , mil satelliit lendab umbes saja kilomeetri kõrgusel kuupinnast , uurida põhjalikult Kuu gravitatsioonivälja , magnetvälja ja paljut muud .|LOC
kuupinnal|Shepard ja Mitchell sõidsid 1,2 km kaugusele ja käisid 2 korda kuupinnal .|LOC
käekõrvas|Proua Eugenie Hurt viis Joti oma käekõrvas otsegu kalli kingituse läbi toreda saali söögituppa pruukosti võtma , neil oli hommikusuurus just käsil .|NONE
"""käekõrvalt"|Meid , jõmpsikaid , võttis vastu õpetaja Paenurm , kes laotas käed laiali - sattusime igapäevaema käekõrvalt otsekui taevase ema õnnistava tiiva alla .|"NONE"""
käekõrvalt|Kaheksa aastat tagasi tapsid kaks kümneaastast poissi kaheaastase poisi , kelle nad kaubanduskeskuses ema käekõrvalt eemale meelitasid .|NONE
käekõrvalt|Abikaasa hakkas jooma , kaotas töö ja süüdistas mind , et just minu käekõrvalt Kätlin jooksis .|NONE
maksuprobleemidele|Nii näiteks teavad ja levitavad foorumlased lahendust kõigile maksuprobleemidele .|NONE
maksuprobleemile|Eile käis koos Eesti Turismifirmade Liidu juhatus ja tegi maksuprobleemile tähelepanu juhtiva märgukirja ka maksuametile .|NONE
maksuprobleemidest|Asjaolu , et Tõnis Palts istub teda pikka aega jälitavatest maksuprobleemidest hoolimata Tallinna linnapea kohal , on ületanud uudiskünnise ka põhjanaabrite juures .|NONE
maksuprobleemidele|Paltsul aga kulub põhiaur jälle oma maksuprobleemidele , mitte linnaasjadele .|NONE
paadininas|Tema kaks äravahetamiseni sarnast poega istuvad nii muretult paadininas , nagu sõidaksid sujuvalt üle küngaste veerevas bussis .|LOC
paadininas|Kuni pojad võrkudega tegelevad , aerutab Aadi paadininas , et laine paati ära ei kannaks .|LOC
paadininasse|Mati ronib üle pingi paadininasse .|LOC
paadininas|Nende väike tütar oli paadininas jälgimas , kas maa on silmapiiril .|LOC
"""peotantsuringis"|« Jah , aga mitte nii vormis kui Chippendales , meil on see nõks , et me mängime mehi , kes viimati ehk kuuendas klassis käisid peotantsuringis ja õppisid rumbaruutu .|"NONE"""
peotantsuringis|Klaveriõpilane Mairin Tann laulab ja käib ka peotantsuringis .|NONE
peotantsuringis|Endise Haljala gümnaasiumi töötaja sõnul on Taneli koolist välja viskamise legend järgmine : Tanel käis tollal peotantsuringis , kus tema partneriks oli matemaatikaõpetaja tütar .|NONE
peotantsuringis|Et sinna pääseda , tuleb peotantsuringis esimesed oskused omandada .|NONE
peterburis|ja just nimelt elab peterburis rohkem rahvast , mitte inimesi|LOC
peterburis|mäletan kui me peterburis käisime .|LOC
peterburis|a mul oli nii et umbes kuu aega tagasi käisin peterburis , sai veidi ostetud .|LOC
peterburis|sai siis 11 kuni 13 mai käidud st. peterburis ja ööbitud mingis kolmetärni hotellis .|LOC
puiatus|Polva_kutt: polva kutt2 elab puiatus|NONE
NONE
puiatus|kino: mina käin puiatus|NONE
puiatule|Kapuuts: kriksi saadame kah puiatule|NONE
põhja-osas|Viimastel nädalatel on ka põhja-osas toimunud mitu rünnakut .|LOC
põhja-osast|Varavalges saare põhja-osast teekonda alustanud ott on väsima hakanud - algul jooksnud kuni 35 kilomeetrit tunnis ( seda näitas tehnika koerte seljas ) , aga nüüd juba kümme kilomeetrit tunnis .|LOC
põhja-osas|Infokeskuse väitel käis umbes viiendik valijatest hääletamas vaid Tshetsheenia põhja-osas .|LOC
põhja-osas|Keskuse teatel puudutas Anatoli Solovjovi , Pavel Vino-gradovi ja Leopold Eyhartsi Sojuz TM-26 pärast kolmetunnist lendu Maad Kasahstani põhja-osas Arkalõki küla lähistel .|LOC
ravikindlustusnõukogudele|Kontrollib riigikontroll ning haigekassad annavad ravikindlustusnõukogudele .|NONE
ravikindlustusnõukogule|Lääne-Viru haigekassa pole kunagi ravikindlustusnõukogule end peale surunud , väitis Morgen .|NONE
ravikindlustusnõukogult|Tartu maakond ja linn said raviteenusteks ravikindlustusnõukogult selleks aastaks 246 miljonit krooni .|NONE
ravikindlustusnõukogus|Piirkonna ravikindlustusnõukogus istunud omavalitsusjuhid ja arstide esindajad kippusid Juki sõnul liiga suurt tükki oma maakonna haiglatele haarama .|NONE
stabilisaatorist|Ta kõndis stabilisaatorist lähedalt mööda - seal ei olnud mingit vett .|NONE
stabilisaatoris|Olles teatanud , et lennukit tasakaalus hoidvas ja maandumist ning õhkutõusmist reguleerivas stabilisaatoris on tekkinud rike , püüdis meeskond sooritada hädamaandumist Los Angelese lennuväljal , kuid sinnani ei jõutud .|LOC
stabilisaatoris|Reisilennuk MD-83 oli teel Mehhiko kuurortlinnast Puerto Vallartast Seattle i , vahepeatusega San Franciscos , kui meeskond teatas tehnilisest rikkest lennukit tasakaalus hoidva ja maandumist ning õhkutõusmist reguleerivas stabilisaatoris .|LOC
"""stabilisaatorist"|Ent vahepeal jooksis siin jutt mingist Comma nimelisest stabilisaatorist/puhastajast ( ? ) , mis kütusele juurde kallatakse ( ? )|"NONE"""
Vahetusmeestepingilt|Vahetusmeestepingilt jälgis mängu Pajusalu .|LOC
vahetusmeestepingilt|Rootsi meistrisarjas sekkus Indrek Zelinski Lands-krona BoiSi kohtumisse Hammarbyga vahetusmeestepingilt 76. minutil , kuid pärast kollase kaardi teenimise millegagi silma ei paistnud .|LOC
vahetusmeestepingil|Kõrgustesse pürgimise valulikku poolt sai tunda ka Arsenali poolkaitsja Perry Groves , kes istus vahetusmeestepingil , kui meeskond värava lõi .|LOC
"""vahetusmeestepingilt"|NHL-is vahetusmeestepingilt jääle rusikavõitlusse tormanud Vancouver Canucksi ääreründaja Todd Bertuzzi teenis automaatselt kümnemängulise võistluskeelu , teatas Sportnet .|"LOC"""
võiduteele|"Ootame innukalt uut autot ja loodame , et Imola pani aluse meie võiduteele nagu mullugi , "" ennustab Schumacher ."|NONE
võiduteel|Varem üheksast omavahelisest kohtumisest vaid ühe kaotanud Sampras liikus ka Cincinnatis pikka aega võiduteel , kuid teise seti lõpus suutis Rafter initsiatiivi haarata .|NONE
võiduteele|Armstrong haaras liidrisärgi 10. etapil , võiduteele mahtus eredaid ja süngemaid hetki .|NONE
võiduteele|Saksa mainekale ajakirjale Der Spiegel antud intervjuus plaanib seitsmekordne maailmameister Michael Schumacher oma vormelikarjääri lõpetada , kui Ferrari meeskond võiduteele ei naase .|NONE
võistluskeskusesse|Pärast hommikust testikatset siirdus ta hotelli puhkama ning naasis võistluskeskusesse alles õhtuseks avamisürituseks .|LOC
võistluskeskuses|Tulekindla pesu vale kasutamise eest Jyväskylä MM-ralli avapäeva järel diskvalifitseeritud Urmo Aava liikus laupäeval võistluskeskuses morni näoga .|LOC
võistluskeskusest|Ehitis asub vaid 1,5 km kaugusel võistluskeskusest .|LOC
võistluskeskusest|Taifuuni tsenter läks seekord võistluskeskusest õnneks mööda .|LOC
äärejoonest|Ja kui sedagi silmas pidada , et kõik , kes või mis pimedas teel seisab , seisaks valgest äärejoonest paremal ( kuigi LE keelab pimeda ajal teel seismise ! ) , siis võiks lähituledega suhteliselt kartmatult sõita .|LOC
äärejoonest|Rooli tagasikeeramiseks aega ei olnud - teeveere äärejoonest veidi enam kui meetri kaugusel asub betoonpost .|LOC
äärejoonele|Viikmäe sai palli , spurtis keskjooneni , söötis äärejoonele Operile , kes andis kohe palli tagasi .|LOC
